Sample,index,Root biomass,Stem biomass,Leaf biomass,Total biomass,Root TN,Stem TN,Leaf TN,Total TN
Fungi_shannon_Stem_ep ,4.45466363418032,50,126,50,226,79.5,108.36,129,316.86
Fungi_shannon_Stem_ep ,4.29873993837666,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_shannon_Stem_ep ,3.36386486888497,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_shannon_Stem_ep ,3.18457927021398,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_shannon_Stem_ep ,3.12863396036573,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_shannon_Stem_en ,1.60937909954476,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_shannon_Stem_en ,1.47914457019762,50,126,50,226,79.5,108.36,129,316.86
Fungi_shannon_Stem_en ,1.60243903653006,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_shannon_Stem_en ,2.52744769509806,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_shannon_Stem_en ,2.49323831072839,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_shannon_Stem_en ,2.60922914175788,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_shannon_phylloplane ,0.325126971537854,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_shannon_phylloplane ,0.438881274984655,50,126,50,226,79.5,108.36,129,316.86
Fungi_shannon_phylloplane ,0.453533880625271,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_shannon_phylloplane ,3.5334295739993,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_shannon_phylloplane ,3.2284139627626,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_shannon_phylloplane ,3.44508850113078,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_shannon_Leaf_en ,2.78708376214701,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_shannon_Leaf_en ,2.81126562600134,50,126,50,226,79.5,108.36,129,316.86
Fungi_shannon_Leaf_en ,2.74932408098955,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_shannon_Leaf_en ,1.70765738094324,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_shannon_Leaf_en ,1.77508922531416,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_shannon_Leaf_en ,1.72305052969616,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_Bulk_soil ,-0.454392102,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_Bulk_soil ,-0.4446079,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_Bulk_soil ,-0.457748149,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_Bulk_soil ,-0.428629119,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_PCoA1_Bulk_soil ,-0.444705185,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_Bulk_soil ,-0.449029531,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_Rhizosphere_soil ,-0.431540644,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_Rhizosphere_soil ,-0.43291516,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_Rhizosphere_soil ,-0.429515299,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_Rhizosphere_soil ,-0.449754723,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_PCoA1_Rhizosphere_soil ,-0.444700106,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_Rhizosphere_soil ,-0.448181408,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_Rhizoplane ,-0.315687828,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_Rhizoplane ,-0.339857814,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_Rhizoplane ,-0.341632088,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_Rhizoplane ,-0.386234094,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_PCoA1_Rhizoplane ,-0.380948317,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_Rhizoplane ,-0.353916467,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_Root_en ,-0.179659469,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_Root_en ,-0.181213877,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_Root_en ,-0.187126563,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_Root_en ,-0.202349008,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_PCoA1_Root_en ,-0.193456814,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_Root_en ,-0.193658259,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_Stem_ep ,0.301275428900695,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_Stem_ep ,0.316401655960736,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_Stem_ep ,0.31353377092381,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_Stem_ep ,0.302357024094745,64,132,76,272,123.52,96.36,283.8,503.68
